Cidade,Curso,Grau,Turno,Vagas,Inscritos,year,Inscritos/Vagas
Niterói,Letras - francês,Bacharelado,Integral,10.0,53.0,2019,5.3
Niterói,Letras - francês,Licenciatura,Integral,25.0,119.0,2019,4.76
Niterói,Letras - grego,Bacharelado,Integral,7.0,40.0,2019,5.714285714285714
Niterói,Letras - grego,Licenciatura,Integral,18.0,150.0,2019,8.333333333333334
Niterói,Letras - inglês,Licenciatura,Noturno,35.0,395.0,2019,11.285714285714286
Niterói,Letras - italiano,Bacharelado,Noturno,6.0,39.0,2019,6.5
Niterói,Letras - italiano,Licenciatura,Noturno,14.0,154.0,2019,11.0
Niterói,Letras - latim,Licenciatura,Integral,25.0,169.0,2019,6.76
Niterói,Letras - português,Licenciatura,Integral,40.0,280.0,2019,7.0
Niterói,Letras - português,Licenciatura,Noturno,40.0,420.0,2019,10.5
Niterói,Matemática,Bacharelado,Matutino,40.0,412.0,2019,10.3
Niterói,Matemática,Licenciatura,Matutino,50.0,524.0,2019,10.48
Niterói,Matemática,Licenciatura,Noturno,70.0,933.0,2019,13.32857142857143
Niterói,Medicina,Bacharelado,Integral,180.0,13492.0,2019,74.95555555555555
Niterói,Medicina veterinária,Bacharelado,Integral,120.0,4590.0,2019,38.25
Niterói,Nutrição,Bacharelado,Integral,81.0,3179.0,2019,39.24691358024691
Niterói,Odontologia,Bacharelado,Integral,90.0,3101.0,2019,34.455555555555556
Niterói,Pedagogia,Licenciatura,Integral,160.0,3506.0,2019,21.9125
Niterói,Processos gerenciais,Tecnológico,Noturno,100.0,1592.0,2019,15.92
Niterói,Produção cultural,Bacharelado,Integral,72.0,1083.0,2019,15.041666666666666
Niterói,Psicologia,Bacharelado,Integral,100.0,5347.0,2019,53.47
Niterói,Química,Bacharelado,Integral,30.0,330.0,2019,11.0
Niterói,Química,Licenciatura,Integral,20.0,202.0,2019,10.1
Niterói,Química,Licenciatura,Noturno,30.0,406.0,2019,13.533333333333333
Niterói,Química industrial,Bacharelado,Integral,40.0,326.0,2019,8.15
Niterói,Relações internacionais,Bacharelado,Matutino,110.0,2399.0,2019,21.80909090909091
Niterói,Segurança pública,Bacharelado,Noturno,120.0,2193.0,2019,18.275
Niterói,Serviço social,Bacharelado,Noturno,110.0,1099.0,2019,9.99090909090909
Niterói,Serviço social,Bacharelado,Vespertino,55.0,421.0,2019,7.654545454545454
Niterói,Sistemas de informação,Bacharelado,Noturno,122.0,1711.0,2019,14.024590163934427
Niterói,Sociologia,Bacharelado,Noturno,56.0,449.0,2019,8.017857142857142
Niterói,Sociologia,Bacharelado,Vespertino,56.0,528.0,2019,9.428571428571429
Niterói,Turismo,Bacharelado,Integral,90.0,1035.0,2019,11.5
Nova friburgo,Biomedicina,Bacharelado,Integral,30.0,632.0,2019,21.066666666666666
Nova friburgo,Fonoaudiologia,Bacharelado,Integral,35.0,698.0,2019,19.942857142857143
Nova friburgo,Odontologia,Bacharelado,Integral,80.0,2222.0,2019,27.775
Petrópolis,Engenharia de produção,Bacharelado,Integral,100.0,478.0,2019,4.78
Rio das ostras,Ciência da computação,Bacharelado,Integral,70.0,877.0,2019,12.528571428571428
