CIDADE,eMEC,NOMECURSO,GRAU,TURNO,VAGASSEM1,INSCSEM1,VAGASSEM2,INSCSEM2,VAGAS 2022,INSCRITOS 2022
Niterói,108646,CINEMA E AUDIOVISUAL,Bacharelado,Integral,36,956,36,867,72,1823
Niterói,1169811,CINEMA E AUDIOVISUAL,Licenciatura,Noturno,22,264,-,-,22,264
Niterói,31882,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,Bacharelado,Integral,26,865,26,707,52,1572
Niterói,1145026,DESENHO INDUSTRIAL,Bacharelado,Integral,50,346,50,249,100,595
Niterói,12699,DIREITO,Bacharelado,Integral,55,1021,55,903,110,1924
Niterói,12699,DIREITO,Bacharelado,Noturno,55,1417,55,1060,110,2477
Niterói,100406,EDUCAÇÃO FÍSICA,Licenciatura,Integral,32,653,32,381,64,1034
Niterói,12708,ENFERMAGEM,Bacharelado,Integral,57,1557,57,1075,114,2632
Niterói,12728,ENGENHARIA AGRÍCOLA E AMBIENTAL,Bacharelado,Integral,50,179,50,143,100,322
Niterói,12719,ENGENHARIA CIVIL,Bacharelado,Integral,45,430,45,365,90,795
Niterói,90473,ENGENHARIA DE PETRÓLEO,Bacharelado,Integral,45,202,-,-,45,202
Niterói,12727,ENGENHARIA DE PRODUÇÃO,Bacharelado,Integral,45,327,45,246,90,573
Niterói,100670,ENGENHARIA DE RECURSOS HÍDRICOS E DO MEIO AMBIENTE,Bacharelado,Integral,50,309,50,190,100,499
Niterói,12722,ENGENHARIA DE TELECOMUNICAÇÕES,Bacharelado,Integral,45,218,45,177,90,395
Niterói,12720,ENGENHARIA ELÉTRICA,Bacharelado,Integral,45,300,45,245,90,545
Niterói,12721,ENGENHARIA MECÂNICA,Bacharelado,Integral,45,289,45,231,90,520
Niterói,12718,ENGENHARIA QUÍMICA,Bacharelado,Integral,50,189,50,181,100,370
Niterói,99082,ESTATÍSTICA,Bacharelado,Integral,43,164,43,117,86,281
Niterói,83177,ESTUDOS DE MÍDIA,Bacharelado,Integral,30,328,30,260,60,588
Niterói,12695,FARMÁCIA,Bacharelado,Integral,72,476,72,464,144,940
Niterói,108644,FILOSOFIA,Licenciatura,Matutino,28,219,28,117,56,336
Niterói,408644,FILOSOFIA,Bacharelado,Matutino,28,133,28,124,56,257
Niterói,12688,FÍSICA,Licenciatura,Integral,25,49,25,29,50,78
Niterói,12688,FÍSICA,Licenciatura,Noturno,35,102,25,35,60,137
Niterói,312688,FÍSICA,Bacharelado,Integral,25,69,25,53,50,122
Niterói,83170,GEOFISICA,Bacharelado,Integral,42,189,-,-,42,189
Niterói,12689,GEOGRAFIA,Licenciatura,Matutino,25,173,-,-,25,173
Niterói,312689,GEOGRAFIA,Bacharelado,Matutino,25,146,-,-,25,146
Niterói,12689,GEOGRAFIA,Licenciatura,Noturno,-,-,25,134,25,134
Niterói,312689,GEOGRAFIA,Bacharelado,Noturno,-,-,25,107,25,107
Niterói,12705,HISTÓRIA,Licenciatura,Matutino,47,433,47,318,94,751
Niterói,12705,HISTÓRIA,Licenciatura,Noturno,47,436,47,269,94,705
Niterói,312705,HISTÓRIA,Bacharelado,Matutino,5,47,5,29,10,76
Niterói,312705,HISTÓRIA,Bacharelado,Noturno,5,47,5,31,10,78
Niterói,1126977,HOTELARIA,Tecnológico,Integral,50,188,-,-,50,188
Niterói,1342617,JORNALISMO,Bacharelado,Integral,26,681,26,570,52,1251
Niterói,32998,LETRAS - ALEMÃO,Licenciatura,Integral,-,-,14,56,14,56
Niterói,332998,LETRAS - ALEMÃO,Bacharelado,Integral,-,-,-,-,-,-
Niterói,34797,LETRAS - ESPANHOL,Licenciatura,Noturno,-,-,35,122,35,122
Niterói,334798,LETRAS - FRANCÊS,Bacharelado,Integral,-,-,10,33,10,33
Niterói,34798,LETRAS - FRANCÊS,Licenciatura,Integral,-,-,25,57,25,57
Niterói,32999,LETRAS - GREGO,Licenciatura,Integral,18,64,-,-,18,64
Niterói,332999,LETRAS - GREGO,Bacharelado,Integral,7,21,-,-,7,21
Niterói,25926,LETRAS - INGLÊS,Licenciatura,Noturno,35,259,-,-,35,259
Niterói,29471,LETRAS - ITALIANO,Licenciatura,Noturno,-,-,-,-,-,-
Niterói,29581,LETRAS - LATIM,Licenciatura,Integral,25,86,-,-,25,86
Niterói,29470,LETRAS - PORTUGUÊS,Licenciatura,Noturno,40,207,-,-,40,207
Niterói,29470,LETRAS - PORTUGUÊS,Licenciatura,Integral,-,-,40,124,40,124
Niterói,12702,MATEMÁTICA,Licenciatura,Matutino,30,163,20,79,50,242
Niterói,12702,MATEMÁTICA,Licenciatura,Noturno,35,191,35,131,70,322
Niterói,312702,MATEMÁTICA,Bacharelado,Matutino,20,107,20,82,40,189
Niterói,12692,MEDICINA,Bacharelado,Integral,90,4686,90,7048,180,11734
Niterói,12704,MEDICINA VETERINÁRIA,Bacharelado,Integral,60,2046,60,1722,120,3768
Niterói,12694,NUTRIÇÃO,Bacharelado,Integral,40,1127,41,649,81,1776
Niterói,12693,ODONTOLOGIA,Bacharelado,Integral,45,1440,45,1178,90,2618
Niterói,12690,PEDAGOGIA,Licenciatura,Integral,80,1005,80,572,160,1577
Niterói,1270437,PROCESSOS GERENCIAIS,Tecnológico,Noturno,50,393,50,227,100,620
Niterói,18609,PRODUÇÃO CULTURAL,Bacharelado,Integral,36,261,36,197,72,458
Niterói,312703,PSICOLOGIA,Bacharelado,Integral,45,2187,45,1423,90,3610
Niterói,12700,QUÍMICA,Licenciatura,Integral,10,30,10,41,20,71
Niterói,12700,QUÍMICA,Licenciatura,Noturno,15,78,15,46,30,124
Niterói,312700,QUÍMICA,Bacharelado,Integral,15,89,15,73,30,162
Niterói,12709,QUÍMICA INDUSTRIAL,Bacharelado,Integral,20,121,20,79,40,200
Niterói,108648,RELAÇÕES INTERNACIONAIS,Bacharelado,Matutino,55,874,55,1048,110,1922
Niterói,1166700,SEGURANÇA PÚBLICA,Bacharelado,Noturno,60,495,60,337,120,832
Niterói,12691,SERVIÇO SOCIAL,Bacharelado,Noturno,55,306,55,195,110,501
Niterói,12691,SERVIÇO SOCIAL,Bacharelado,Vespertino,-,-,55,153,55,153
Niterói,1122221,SISTEMAS DE INFORMAÇÃO,Bacharelado,Noturno,61,625,61,448,122,1073
Niterói,1153323,SOCIOLOGIA,Bacharelado,Vespertino,56,241,-,-,56,241
Niterói,1153323,SOCIOLOGIA,Bacharelado,Noturno,-,-,56,142,56,142
Niterói,63646,TURISMO,Bacharelado,Integral,45,230,45,183,90,413
Nova Friburgo,1100006,BIOMEDICINA,Bacharelado,Integral,30,601,-,-,30,601
Nova Friburgo,1100007,FONOAUDIOLOGIA,Bacharelado,Integral,35,333,-,-,35,333
Nova Friburgo,9709,ODONTOLOGIA,Bacharelado,Integral,40,642,40,650,80,1292
Petrópolis,1303882,ENGENHARIA DE PRODUÇÃO,Bacharelado,Integral,50,116,50,74,100,190
Rio das Ostras,82799,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Integral,35,320,35,292,70,612
Rio das Ostras,82840,ENFERMAGEM,Bacharelado,Integral,30,637,30,469,60,1106
Rio das Ostras,82842,ENGENHARIA DE PRODUÇÃO,Bacharelado,Integral,35,150,35,100,70,250
Rio das Ostras,82868,PRODUÇÃO CULTURAL,Bacharelado,Integral,35,156,35,102,70,258
Rio das Ostras,382876,PSICOLOGIA,Bacharelado,Integral,40,897,40,764,80,1661
Rio das Ostras,82834,SERVIÇO SOCIAL,Bacharelado,Noturno,35,343,35,204,70,547
Santo Antônio de Pádua,1145029,CIÊNCIAS NATURAIS,Licenciatura,Noturno,50,102,-,-,50,102
Santo Antônio de Pádua,1145037,COMPUTAÇÃO,Licenciatura,Integral,50,145,-,-,50,145
Santo Antônio de Pádua,1123027,FÍSICA,Licenciatura,Noturno,50,63,-,-,50,63
Santo Antônio de Pádua,1303424,INTERDISCIPLINAR EM EDUCAÇÃO NO CAMPO,Licenciatura,Integral,60,11,-,-,60,11
Santo Antônio de Pádua,12713,MATEMÁTICA,Licenciatura,Noturno,40,60,-,-,40,60
Santo Antônio de Pádua,5000477,MATEMÁTICA,Bacharelado,Noturno,50,51,-,-,50,51
Santo Antônio de Pádua,123704,PEDAGOGIA,Licenciatura,Noturno,50,171,-,-,50,171
Volta Redonda,90475,ADMINISTRAÇÃO,Bacharelado,Noturno,60,183,60,109,120,292
Volta Redonda,1125326,ADMINISTRAÇÃO PÚBLICA,Bacharelado,Integral,42,340,-,-,42,340
Volta Redonda,1107861,CIÊNCIAS CONTÁBEIS,Bacharelado,Noturno,40,291,40,146,80,437
Volta Redonda,1107861,CIÊNCIAS CONTÁBEIS,Bacharelado,Matutino,-,-,40,120,40,120
Volta Redonda,1122220,DIREITO,Bacharelado,Integral,40,688,40,596,80,1284
Volta Redonda,90471,ENGENHARIA DE AGRONEGÓCIOS,Bacharelado,Integral,40,154,40,78,80,232
Volta Redonda,1304766,ENGENHARIA DE MATERIAIS,Bacharelado,Integral,20,74,20,54,40,128
Volta Redonda,44374,ENGENHARIA DE PRODUÇÃO,Bacharelado,Integral,40,250,40,154,80,404
Volta Redonda,44370,ENGENHARIA MECÂNICA,Bacharelado,Integral,40,232,40,153,80,385
Volta Redonda,12712,ENGENHARIA METALÚRGICA,Bacharelado,Integral,24,96,24,73,48,169
Volta Redonda,1125664,FÍSICA,Bacharelado,Integral,40,88,40,54,80,142
Volta Redonda,1125307,MATEMÁTICA,Bacharelado,Integral,40,105,40,54,80,159
Volta Redonda,5000478,PSICOLOGIA,Bacharelado,Integral,40,874,40,695,80,1569
Volta Redonda,1100002,QUÍMICA,Bacharelado,Integral,31,97,31,64,62,161
Volta Redonda,1100003,QUÍMICA,Licenciatura,Integral,31,86,31,28,62,114
,,,,,4898,51692,4116,39439,9014,91131
