CIDADE,eMEC,NOMECURSO,GRAU,TURNO,VAGASSEM1,INSCSEM1,VAGASSEM2,INSCSEM2,VAGAS 2022,INSCRITOS 2022
Angra dos Reis,1278713,GEOGRAFIA,Licenciatura,Vespertino,40,132,-,-,40,132
Angra dos Reis,1278713,GEOGRAFIA,Licenciatura,Noturno,-,-,40,82,40,82
Angra dos Reis,12717,PEDAGOGIA,Licenciatura,Noturno,41,222,-,-,41,222
Angra dos Reis,12717,PEDAGOGIA,Licenciatura,Vespertino,-,-,41,145,41,145
Angra dos Reis,1160469,POLÍTICAS PÚBLICAS,Bacharelado,Noturno,40,181,-,-,40,181
Campos dos Goytacazes,1077609,CIÊNCIAS ECONÔMICAS,Bacharelado,Integral,60,279,60,213,120,492
Campos dos Goytacazes,1079286,CIÊNCIAS SOCIAIS,Bacharelado,Noturno,30,138,30,87,60,225
Campos dos Goytacazes,123729,CIÊNCIAS SOCIAIS,Licenciatura,Noturno,35,147,35,101,70,248
Campos dos Goytacazes,423708,GEOGRAFIA,Bacharelado,Vespertino,62,207,-,-,62,207
Campos dos Goytacazes,1077817,GEOGRAFIA,Licenciatura,Noturno,-,-,63,148,63,148
Campos dos Goytacazes,1122208,HISTÓRIA,Licenciatura,Noturno,20,140,20,64,40,204
Campos dos Goytacazes,1123212,HISTÓRIA,Bacharelado,Noturno,40,195,40,140,80,335
Campos dos Goytacazes,1100005,PSICOLOGIA,Bacharelado,Integral,55,1188,55,908,110,2096
Campos dos Goytacazes,12696,SERVIÇO SOCIAL,Bacharelado,Noturno,50,521,50,279,100,800
Macaé,12724,ADMINISTRAÇÃO,Bacharelado,Noturno,50,833,-,-,50,833
Macaé,12725,CIÊNCIAS CONTÁBEIS,Bacharelado,Noturno,50,254,-,-,50,254
Macaé,52258,DIREITO,Bacharelado,Integral,50,664,50,773,100,1437
Niterói,12701,ADMINISTRAÇÃO,Bacharelado,Noturno,40,751,40,416,80,1167
Niterói,1457276,ADMINISTRAÇÃO PÚBLICA,Bacharelado,Integral,25,172,25,108,50,280
Niterói,1151162,ANTROPOLOGIA,Bacharelado,Integral,62,315,-,-,62,315
Niterói,12684,ARQUIVOLOGIA,Bacharelado,Integral,40,314,40,224,80,538
Niterói,1169809,ARTES,Bacharelado,Integral,20,351,20,274,40,625
Niterói,12685,BIBLIOTECONOMIA E DOCUMENTAÇÃO,Bacharelado,Integral,40,307,40,229,80,536
Niterói,63834,BIOMEDICINA,Bacharelado,Integral,31,1308,31,1291,62,2599
Niterói,5000479,CIÊNCIA AMBIENTAL,Bacharelado,Integral,40,300,-,-,40,300
Niterói,12710,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Integral,70,1137,70,858,140,1995
Niterói,1122223,CIÊNCIAS ATUARIAIS,Bacharelado,Noturno,40,226,40,167,80,393
Niterói,344367,CIÊNCIAS BIOLÓGICAS,Bacharelado,Integral,40,526,40,389,80,915
Niterói,44367,CIÊNCIAS BIOLÓGICAS,Licenciatura,Integral,20,186,20,129,40,315
Niterói,12711,CIÊNCIAS CONTÁBEIS,Bacharelado,Noturno,45,461,45,297,90,758
Niterói,12698,CIÊNCIAS ECONÔMICAS,Bacharelado,Matutino,50,398,50,336,100,734
Niterói,12698,CIÊNCIAS ECONÔMICAS,Bacharelado,Noturno,50,352,50,334,100,686
Niterói,12686,CIÊNCIAS SOCIAIS,Licenciatura,Noturno,30,200,-,-,30,200
Niterói,312686,CIÊNCIAS SOCIAIS,Bacharelado,Noturno,30,197,-,-,30,197
Niterói,12686,CIÊNCIAS SOCIAIS,Licenciatura,Vespertino,-,-,30,138,30,138
Niterói,312686,CIÊNCIAS SOCIAIS,Bacharelado,Vespertino,-,-,30,154,30,154
