Cidade,eMEC,AnoCriação,Área,Fator Retenção,Peso Grupo,Duração Padrão,Curso,Grau,TURNO,Vagas 2019,Candidatos 2019
Niterói,12705,1947,CH,"0,1000",1,4,História,Lic,Not,94,1627
Niterói,1126977,2011,CSA,"0,1200",1,4,Hotelaria,Tec,Int,50,454
Niterói,1342617,1968,CSA,"0,1150",1,4,Jornalismo,Bac,Int,52,1854
Niterói,332998,1947,LL,"0,1150",1,4,Letras - Alemão,Bac,Int,6,29
Niterói,32998,1947,LL,"0,1150",1,4,Letras - Alemão,Lic,Int,14,97
Niterói,34797,1947,LL,"0,1150",1,4,Letras - Espanhol,Lic,Not,35,242
Niterói,334798,1947,LL,"0,1150",1,4,Letras - Francês,Bac,Int,10,53
Niterói,34798,1947,LL,"0,1150",1,4,Letras - Francês,Lic,Int,25,119
Niterói,332999,1947,LL,"0,1150",1,4,Letras - Grego,Bac,Int,7,40
Niterói,32999,1947,LL,"0,1150",1,4,Letras - Grego,Lic,Int,18,150
Niterói,25926,1947,LL,"0,1150",1,4,Letras - Inglês,Lic,Not,35,395
Niterói,329471,1947,LL,"0,1150",1,4,Letras - Italiano,Bac,Not,6,39
Niterói,29471,1947,LL,"0,1150",1,4,Letras - Italiano,Lic,Not,14,154
Niterói,29581,1947,LL,"0,1150",1,4,Letras - Latim,Lic,Int,25,169
Niterói,29470,1947,LL,"0,1150",1,4,Letras - Português,Lic,Int,40,280
Niterói,29470,1947,LL,"0,1150",1,4,Letras - Português,Lic,Not,40,420
Niterói,312702,1948,CE1,"0,1325","1,5",4,Matemática,Bac,Mat,40,412
Niterói,12702,1948,CE1,"0,1325","1,5",4,Matemática,Lic,Mat,50,524
Niterói,12702,1948,CE1,"0,1325","1,5",4,Matemática,Lic,Not,70,933
Niterói,12692,1926,CS1,"0,0650","4,5",6,Medicina,Bac,Int,180,13492
Niterói,12704,1936,CS2,"0,0650","4,5",5,Medicina Veterinária,Bac,Int,120,4590
Niterói,12694,1968,CS3,"0,0660",2,5,Nutrição,Bac,Int,81,3179
Niterói,12693,1958,CS2,"0,0650","4,5",5,Odontologia,Bac,Int,90,3101
Niterói,12690,1947,CH,"0,1000",1,4,Pedagogia,Lic,Int,160,3506
Niterói,1270437,2013,TEC,"0,0820",2,3,Processos Gerenciais,Tec,Not,100,1592
Niterói,18609,1995,TEC,"0,0820",2,4,Produção Cultural,Bac,Int,72,1083
Niterói,312703,1970,CH1,"0,1000",1,5,Psicologia,Bac,Int,100,5347
Niterói,312700,1970,CET,"0,1325",2,4,Química,Bac,Int,30,330
Niterói,12700,1970,CET,"0,1325",2,4,Química,Lic,Int,20,202
Niterói,12700,1970,CET,"0,1325",2,4,Química,Lic,Not,30,406
Niterói,12709,1977,CET,"0,1325",2,4,Química Industrial,Bac,Int,40,326
Niterói,108648,2008,CSA,"0,1200",1,4,Relações Internacionais,Bac,Mat,110,2399
Niterói,1166700,2012,CSA,"0,1200",1,4,Segurança Pública,Bac,Not,120,2193
Niterói,12691,1945,CSA,"0,1200",1,4,Serviço Social,Bac,Not,110,1099
Niterói,12691,1945,CSA,"0,1200",1,4,Serviço Social,Bac,Ves,55,421
Niterói,1122221,2010,CE2,"0,1325","1,5",4,Sistemas de Informação,Bac,Not,122,1711
Niterói,1153323,2011,CSA,"0,1000",1,4,Sociologia,Bac,Not,56,449
Niterói,1153323,2011,CSA,"0,1000",1,4,Sociologia,Bac,Ves,56,528
Niterói,63646,2003,CSA,"0,1200",1,4,Turismo,Bac,Int,90,1035
Nova Friburgo,1100006,2010,CS1,"0,0650","4,5",4,Biomedicina,Bac,Int,30,632
Nova Friburgo,1100007,2010,CS4,"0,0660","1,5",5,Fonoaudiologia,Bac,Int,35,698
Nova Friburgo,9709,2007,CS2,"0,0650","4,5",5,Odontologia,Bac,Int,80,2222
Petrópolis,1303882,2015,ENG,"0,0820",2,5,Engenharia de Produção,Bac,Int,100,478
Rio das Ostras,82799,2004,CE2,"0,1325","1,5",4,Ciência da Computação,Bac,Int,70,877
Rio das Ostras,82840,1944,CS4,"0,0660","1,5",5,Enfermagem,Bac,Int,60,1941
,,,,,,,,,,,
Rio das Ostras,82842,2005,ENG,"0,0820",2,5,Engenharia de Produção,Bac,Int,70,580
Rio das Ostras,82868,2005,TEC,"0,0820",2,4,Produção Cultural,Bac,Int,70,744
