CIDADE,eMEC,NOMECURSO,GRAU,TURNO,VAGASSEM1,INSCSEM1,VAGASSEM2,INSCSEM2,VAGAS 2021,INSCRITOS 2021
Niterói,312689,GEOGRAFIA,Bacharelado,Noturno,,,25,131,25,131
Niterói,12705,HISTÓRIA,Licenciatura,Matutino,47,486,47,295,94,781
Niterói,12705,HISTÓRIA,Licenciatura,Noturno,47,471,47,270,94,741
Niterói,312705,HISTÓRIA,Bacharelado,Matutino,5,56,5,44,10,100
Niterói,312705,HISTÓRIA,Bacharelado,Noturno,5,47,5,37,10,84
Niterói,1126977,HOTELARIA,Tecnológico,Integral,50,287,,,50,287
Niterói,1342617,JORNALISMO,Bacharelado,Integral,26,691,26,538,52,1229
Niterói,32998,LETRAS - ALEMÃO,Licenciatura,Integral,,,14,51,14,51
Niterói,332998,LETRAS - ALEMÃO,Bacharelado,Integral,,,6,18,6,18
Niterói,34797,LETRAS - ESPANHOL,Licenciatura,Noturno,,,35,120,35,120
Niterói,334798,LETRAS - FRANCÊS,Bacharelado,Integral,,,10,32,10,32
Niterói,34798,LETRAS - FRANCÊS,Licenciatura,Integral,,,25,71,25,71
Niterói,32999,LETRAS - GREGO,Licenciatura,Integral,18,63,,,18,63
Niterói,332999,LETRAS - GREGO,Bacharelado,Integral,7,32,,,7,32
Niterói,25926,LETRAS - INGLÊS,Licenciatura,Noturno,35,295,,,35,295
Niterói,29471,LETRAS - ITALIANO,Licenciatura,Noturno,,,14,51,14,51
Niterói,29581,LETRAS - LATIM,Licenciatura,Integral,25,102,,,25,102
Niterói,29470,LETRAS - PORTUGUÊS,Licenciatura,Noturno,40,277,,,40,277
Niterói,29470,LETRAS - PORTUGUÊS,Licenciatura,Integral,,,40,168,40,168
Niterói,12702,MATEMÁTICA,Licenciatura,Matutino,30,170,20,79,50,249
Niterói,12702,MATEMÁTICA,Licenciatura,Noturno,35,222,35,142,70,364
Niterói,312702,MATEMÁTICA,Bacharelado,Matutino,20,89,20,92,40,181
Niterói,12692,MEDICINA,Bacharelado,Integral,90,4528,90,5224,180,9752
Niterói,12704,MEDICINA VETERINÁRIA,Bacharelado,Integral,60,2244,60,1593,120,3837
Niterói,12694,NUTRIÇÃO,Bacharelado,Integral,40,1133,41,637,81,1770
Niterói,12693,ODONTOLOGIA,Bacharelado,Integral,45,1689,45,1365,90,3054
Niterói,12690,PEDAGOGIA,Licenciatura,Integral,80,1124,80,606,160,1730
Niterói,1270437,PROCESSOS GERENCIAIS,Tecnológico,Noturno,50,567,50,285,100,852
Niterói,18609,PRODUÇÃO CULTURAL,Bacharelado,Integral,36,338,36,191,72,529
Niterói,312703,PSICOLOGIA,Bacharelado,Integral,45,2426,45,1477,90,3903
Niterói,12700,QUÍMICA,Licenciatura,Integral,10,54,10,30,20,84
Niterói,12700,QUÍMICA,Licenciatura,Noturno,15,122,15,66,30,188
Niterói,312700,QUÍMICA,Bacharelado,Integral,15,149,15,85,30,234
Niterói,12709,QUÍMICA INDUSTRIAL,Bacharelado,Integral,20,106,20,87,40,193
Niterói,108648,RELAÇÕES INTERNACIONAIS,Bacharelado,Matutino,55,826,55,903,110,1729
Niterói,1166700,SEGURANÇA PÚBLICA,Bacharelado,Noturno,60,786,60,411,120,1197
Niterói,12691,SERVIÇO SOCIAL,Bacharelado,Noturno,55,277,55,183,110,460
Niterói,12691,SERVIÇO SOCIAL,Bacharelado,Vespertino,,,51,189,51,189
Niterói,1122221,SISTEMAS DE INFORMAÇÃO,Bacharelado,Noturno,61,670,61,465,122,1135
Niterói,1153323,SOCIOLOGIA,Bacharelado,Vespertino,56,294,,,56,294
Niterói,1153323,SOCIOLOGIA,Bacharelado,Noturno,,,56,212,56,212
Niterói,63646,TURISMO,Bacharelado,Integral,45,347,45,237,90,584
Nova Friburgo,1100006,BIOMEDICINA,Bacharelado,Integral,30,567,,,30,567
Nova Friburgo,1100007,FONOAUDIOLOGIA,Bacharelado,Integral,35,425,,,35,425
Nova Friburgo,9709,ODONTOLOGIA,Bacharelado,Integral,40,883,40,734,80,1617
Petrópolis,1303882,ENGENHARIA DE PRODUÇÃO,Bacharelado,Integral,50,201,50,103,100,304
Rio das Ostras,82799,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Integral,35,329,35,220,70,549
Rio das Ostras,82840,ENFERMAGEM,Bacharelado,Integral,30,843,30,567,60,1410
Rio das Ostras,82842,ENGENHARIA DE PRODUÇÃO,Bacharelado,Integral,35,168,35,112,70,280
Rio das Ostras,82868,PRODUÇÃO CULTURAL,Bacharelado,Integral,35,215,35,126,70,341
Rio das Ostras,382876,PSICOLOGIA,Bacharelado,Integral,40,1021,,,40,1021
Rio das Ostras,82834,SERVIÇO SOCIAL,Bacharelado,Noturno,35,496,35,261,70,757
Santo Antônio de Pádua,1145029,CIÊNCIAS NATURAIS,Licenciatura,Noturno,50,169,,,50,169
Santo Antônio de Pádua,1145037,COMPUTAÇÃO,Licenciatura,Integral,50,229,,,50,229
Santo Antônio de Pádua,1123027,FÍSICA,Licenciatura,Noturno,50,25,,,50,25
Santo Antônio de Pádua,1303424,INTERDISCIPLINAR EM EDUCAÇÃO NO CAMPO,Licenciatura,Integral,60,39,,,60,39
Santo Antônio de Pádua,12713,MATEMÁTICA,Licenciatura,Noturno,40,111,,,40,111
Santo Antônio de Pádua,5000477,MATEMÁTICA,Bacharelado,Noturno,50,126,,,50,126
Santo Antônio de Pádua,123704,PEDAGOGIA,Licenciatura,Noturno,50,280,,,50,280
Volta Redonda,90475,ADMINISTRAÇÃO,Bacharelado,Noturno,60,230,60,162,120,392
Volta Redonda,1125326,ADMINISTRAÇÃO PÚBLICA,Bacharelado,Integral,42,473,,,42,473
Volta Redonda,1107861,CIÊNCIAS CONTÁBEIS,Bacharelado,Noturno,40,341,40,173,80,514
Volta Redonda,1107861,CIÊNCIAS CONTÁBEIS,Bacharelado,Matutino,,,40,167,40,167
Volta Redonda,1122220,DIREITO,Bacharelado,Integral,40,711,40,629,80,1340
Volta Redonda,90471,ENGENHARIA DE AGRONEGÓCIOS,Bacharelado,Integral,40,171,40,81,80,252
Volta Redonda,1304766,ENGENHARIA DE MATERIAIS,Bacharelado,Integral,20,87,20,69,40,156
Volta Redonda,44374,ENGENHARIA DE PRODUÇÃO,Bacharelado,Integral,40,301,40,179,80,480
Volta Redonda,44370,ENGENHARIA MECÂNICA,Bacharelado,Integral,40,312,40,172,80,484
Volta Redonda,12712,ENGENHARIA METALÚRGICA,Bacharelado,Integral,24,141,24,102,48,243
Volta Redonda,1125664,FÍSICA,Bacharelado,Integral,40,125,40,81,80,206
Volta Redonda,1125307,MATEMÁTICA,Bacharelado,Integral,40,188,40,78,80,266
Volta Redonda,5000478,PSICOLOGIA,Bacharelado,Integral,40,1033,,,40,1033
Volta Redonda,1100002,QUÍMICA,Bacharelado,Integral,31,142,31,89,62,231
Volta Redonda,1100003,QUÍMICA,Licenciatura,Integral,31,135,31,54,62,189
,,,,,4858,59987,4052,38087,8910,98074
